Date,decLat,decLong,sciName
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
9/7/16,25.36238,-80.16675,Scarus iseri
7/22/16,25.36532,-80.15602,Scarus iseri
7/22/16,25.36532,-80.15602,Scarus iseri
7/22/16,25.36528,-80.15598,Scarus iseri
7/22/16,25.36532,-80.15602,Scarus iseri
7/22/16,25.36528,-80.15598,Scarus iseri
7/22/16,25.36528,-80.15598,Scarus iseri
7/22/16,25.36532,-80.15602,Scarus iseri
7/22/16,25.36532,-80.15602,Scarus iseri
7/22/16,25.36528,-80.15598,Scarus iseri
7/22/16,25.36528,-80.15598,Scarus iseri
7/22/16,25.36532,-80.15602,Scarus iseri
7/22/16,25.36532,-80.15602,Scarus iseri
7/22/16,25.36528,-80.15598,Scarus iseri
7/22/16,25.3671,-80.17552,Scarus iseri
7/22/16,25.36738,-80.17545,Scarus iseri
7/22/16,25.36738,-80.17545,Scarus iseri
7/22/16,25.36738,-80.17545,Scarus iseri
7/22/16,25.36738,-80.17545,Scarus iseri
7/22/16,25.3671,-80.17552,Scarus iseri
7/22/16,25.3671,-80.17552,Scarus iseri
7/22/16,25.3671,-80.17552,Scarus iseri
7/22/16,25.36738,-80.17545,Scarus iseri
7/22/16,25.36738,-80.17545,Scarus iseri
7/22/16,25.3671,-80.17552,Scarus iseri
7/22/16,25.3671,-80.17552,Scarus iseri
7/22/16,25.3671,-80.17552,Scarus iseri
9/15/16,25.36742,-80.1867,Scarus iseri
9/15/16,25.36758,-80.18673,Scarus iseri
9/15/16,25.36742,-80.1867,Scarus iseri
9/15/16,25.36758,-80.18673,Scarus iseri
9/15/16,25.36742,-80.1867,Scarus iseri
9/15/16,25.36742,-80.1867,Scarus iseri
9/15/16,25.36758,-80.18673,Scarus iseri
9/15/16,25.36758,-80.18673,Scarus iseri
9/15/16,25.36742,-80.1867,Scarus iseri
9/15/16,25.36758,-80.18673,Scarus iseri
9/15/16,25.36758,-80.18673,Scarus iseri
9/15/16,25.36758,-80.18673,Scarus iseri
9/15/16,25.36742,-80.1867,Scarus iseri
7/12/16,25.37083,-80.15123,Scarus iseri
7/12/16,25.37083,-80.15123,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
7/12/16,25.37083,-80.15123,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
7/12/16,25.37083,-80.15123,Scarus iseri
7/12/16,25.37083,-80.15123,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
7/12/16,25.37083,-80.15123,Scarus iseri
7/12/16,25.37083,-80.15123,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
7/12/16,25.37083,-80.15123,Scarus iseri
7/12/16,25.37071,-80.1512,Scarus iseri
9/6/16,25.45756,-80.1432,Scarus iseri
9/6/16,25.45756,-80.1432,Scarus iseri
9/6/16,25.45744,-80.14331,Scarus iseri
9/6/16,25.45744,-80.14331,Scarus iseri
9/6/16,25.45744,-80.14331,Scarus iseri
9/6/16,25.45744,-80.14331,Scarus iseri
9/6/16,25.45744,-80.14331,Scarus iseri
9/6/16,25.45756,-80.1432,Scarus iseri
9/6/16,25.45744,-80.14331,Scarus iseri
9/6/16,25.45756,-80.1432,Scarus iseri
9/6/16,25.45756,-80.1432,Scarus iseri
9/6/16,25.45744,-80.14331,Scarus iseri
9/6/16,25.45756,-80.1432,Scarus iseri
9/6/16,25.45756,-80.1432,Scarus iseri
9/6/16,25.45756,-80.1432,Scarus iseri
9/6/16,25.45756,-80.1432,Scarus iseri
9/6/16,25.45744,-80.14331,Scarus iseri
9/7/16,25.4627,-80.15015,Scarus iseri
9/7/16,25.4627,-80.15015,Scarus iseri
9/7/16,25.4627,-80.15015,Scarus iseri
9/7/16,25.4627,-80.15015,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.4627,-80.15015,Scarus iseri
9/7/16,25.4627,-80.15015,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.4627,-80.15015,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.4627,-80.15015,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.46297,-80.15059,Scarus iseri
9/7/16,25.46228,-80.14615,Scarus iseri
9/7/16,25.46228,-80.14615,Scarus iseri
9/7/16,25.46228,-80.14615,Scarus iseri
9/7/16,25.46221,-80.14614,Scarus iseri
9/7/16,25.46221,-80.14614,Scarus iseri
9/7/16,25.46221,-80.14614,Scarus iseri
9/7/16,25.46221,-80.14614,Scarus iseri
9/7/16,25.46228,-80.14615,Scarus iseri
9/7/16,25.46221,-80.14614,Scarus iseri
9/7/16,25.46228,-80.14615,Scarus iseri
9/7/16,25.46221,-80.14614,Scarus iseri
9/7/16,25.46221,-80.14614,Scarus iseri
9/7/16,25.46221,-80.14614,Scarus iseri
9/7/16,25.46221,-80.14614,Scarus iseri
9/6/16,25.46308,-80.13584,Scarus iseri
9/6/16,25.46308,-80.13584,Scarus iseri
9/6/16,25.46308,-80.13584,Scarus iseri
9/6/16,25.46298,-80.13586,Scarus iseri
9/6/16,25.46298,-80.13586,Scarus iseri
9/6/16,25.46308,-80.13584,Scarus iseri
9/6/16,25.46308,-80.13584,Scarus iseri
9/6/16,25.46298,-80.13586,Scarus iseri
9/6/16,25.46298,-80.13586,Scarus iseri
9/6/16,25.46298,-80.13586,Scarus iseri
9/6/16,25.46308,-80.13584,Scarus iseri
9/6/16,25.46298,-80.13586,Scarus iseri
9/7/16,25.465,-80.15622,Scarus iseri
9/7/16,25.465,-80.15622,Scarus iseri
9/7/16,25.465,-80.15622,Scarus iseri
9/7/16,25.465,-80.15622,Scarus iseri
9/7/16,25.46477,-80.15604,Scarus iseri
9/7/16,25.465,-80.15622,Scarus iseri
9/7/16,25.46477,-80.15604,Scarus iseri
9/7/16,25.465,-80.15622,Scarus iseri
9/7/16,25.465,-80.15622,Scarus iseri
9/7/16,25.46477,-80.15604,Scarus iseri
9/7/16,25.46477,-80.15604,Scarus iseri
9/7/16,25.46477,-80.15604,Scarus iseri
9/7/16,25.46477,-80.15604,Scarus iseri
9/7/16,25.465,-80.15622,Scarus iseri
9/7/16,25.465,-80.15622,Scarus iseri
9/7/16,25.46477,-80.15604,Scarus iseri
9/7/16,25.46477,-80.15604,Scarus iseri
9/7/16,25.47661,-80.15726,Scarus iseri
9/7/16,25.47661,-80.15726,Scarus iseri
9/7/16,25.47661,-80.15751,Scarus iseri
9/7/16,25.47661,-80.15751,Scarus iseri
9/7/16,25.47661,-80.15751,Scarus iseri
9/7/16,25.47661,-80.15726,Scarus iseri
9/7/16,25.47661,-80.15726,Scarus iseri
9/7/16,25.47661,-80.15751,Scarus iseri
9/7/16,25.47661,-80.15751,Scarus iseri
9/7/16,25.47661,-80.15726,Scarus iseri
9/7/16,25.47661,-80.15751,Scarus iseri
9/7/16,25.47661,-80.15751,Scarus iseri
9/7/16,25.47661,-80.15726,Scarus iseri
9/6/16,25.48005,-80.14506,Scarus iseri
9/6/16,25.48005,-80.14506,Scarus iseri
